entry_date,entry_price,exit_date,exit_price,hold_days,return,capital_before,capital_after
2018-12-21,5.016499361114492,2019-02-06,7.857302665710449,47,1.5662919697780704,19894984.54998344,31161354.53949784
2018-12-24,4.572251885378416,2019-01-25,6.987401485443115,32,1.5282188428393664,31161354.53949784,47621369.17565863
2018-12-26,4.461029474981679,2019-01-25,6.987401485443115,30,1.5663204030885298,47621369.17565863,74590322.16284531
2018-12-27,4.769679319630358,2019-02-04,7.172800540924072,39,1.5038328701477466,74590322.16284531,112171378.26339674
2018-12-28,5.248891462785254,2019-02-12,7.8739800453186035,46,1.5001224736966425,112171378.26339674,168270805.43844852
2020-02-27,13.011003528750404,2020-09-02,19.874935150146484,188,1.5275482099615803,168270805.43844852,257041767.63629538
2020-02-28,11.100659804647488,2020-08-25,16.861215591430664,179,1.5189381431517626,257041767.63629538,390430545.2459213
2020-03-02,14.03716977281726,2020-11-05,21.665586471557617,248,1.5434440718607434,390430545.2459213,602607710.533175
2020-03-03,14.724507644341164,2020-11-06,22.780054092407227,248,1.5470842654057722,602607710.533175,932284907.1780713
2020-03-05,13.73771135228275,2020-11-05,21.665586471557617,245,1.5770884913779701,932284907.1780713,1470295797.7959154
2020-03-06,12.585050640867092,2020-09-02,19.874935150146484,180,1.5792495173286907,1470295797.7959154,2321963928.9996014
2020-03-09,9.811820862274228,2020-07-30,14.89408016204834,143,1.5179731031693666,2321963928.9996014,3524678790.7508597
2020-03-10,10.772801584492411,2020-08-04,16.180503845214844,147,1.5019773378641719,3524678790.7508597,5293987666.958284
2020-03-11,10.377181066988529,2020-08-04,16.180503845214844,146,1.5592388473096621,5293987666.958284,8254591227.499602
2020-03-12,7.525860058031251,2020-06-03,11.384591102600098,83,1.5127295770602307,8254591227.499602,12486964296.380564
2020-03-13,7.81628319819638,2020-06-05,12.53532600402832,84,1.6037451159549678,12486964296.380564,20025908003.42439
2020-03-16,5.79428562991842,2020-04-29,9.459160804748535,44,1.63249819026987,20025908003.42439,32692258574.101223
2020-03-17,5.1501900404565735,2020-04-14,8.20116901397705,28,1.592401241420987,32692258574.101223,52059193138.25469
2020-03-18,4.453816262406014,2020-03-26,6.983237266540527,8,1.5679221717081082,52059193138.25469,81624763162.70415
2020-03-19,4.080782738873355,2020-03-26,6.983237266540527,7,1.7112494620256355,81624763162.70415,139680332050.1474
2020-03-20,5.05402679262537,2020-04-14,8.20116901397705,25,1.6226999480778104,139680332050.1474,226659267565.2655
2020-03-23,4.388631381943137,2020-03-26,6.983237266540527,3,1.5912107121306203,226659267565.2655,360662654553.53094
2020-03-24,5.3983114256361455,2020-04-14,8.20116901397705,21,1.5192100579878294,360662654553.53094,547922332338.3142
2022-04-29,23.585774846708507,2024-01-23,35.39342498779297,634,1.5006259161645592,547922332338.3142,822226451952.2048
2022-04-29,23.585774846708507,2024-01-23,35.39342498779297,634,1.5006259161645592,822226451952.2048,1233854322755.5122
2022-05-02,21.722214738249612,2024-01-19,34.348960876464844,627,1.581282631184996,1233854322755.5122,1951072409985.8176
2022-05-02,21.722214738249612,2024-01-19,34.348960876464844,627,1.581282631184996,1951072409985.8176,3085196914094.8247
2022-05-05,25.750228474970843,2024-02-09,38.74357986450195,645,1.5045916933187842,3085196914094.8247,4641961649199.819
2022-05-05,25.750228474970843,2024-02-09,38.74357986450195,645,1.5045916933187842,4641961649199.819,6984256938090.412
2022-05-06,22.556930719164868,2024-01-19,34.348960876464844,623,1.5227674945723535,6984256938090.412,10635399439065.514
2022-05-06,22.556930719164868,2024-01-19,34.348960876464844,623,1.5227674945723535,10635399439065.514,16195240557602.006
2022-05-09,21.17866981555273,2023-12-27,31.87575912475586,597,1.505087873901676,16195240557602.006,24375260178167.395
2022-05-09,21.17866981555273,2023-12-27,31.87575912475586,597,1.505087873901676,24375260178167.395,36686908517358.15
2022-05-10,20.8195447105533,2023-12-26,31.68854331970215,595,1.5220574590009848,36686908517358.15,55839582756531.73
2022-05-10,20.8195447105533,2023-12-26,31.68854331970215,595,1.5220574590009848,55839582756531.73,84991053442081.89
2022-05-11,19.926580984517685,2023-12-15,30.0543212890625,583,1.5082527861861372,84991053442081.89,128187993154914.9
2022-05-11,19.926580984517685,2023-12-15,30.0543212890625,583,1.5082527861861372,128187993154914.9,193339897831509.9
2022-05-12,17.965957267994817,2023-07-17,27.54098320007324,431,1.5329538409364754,193339897831509.9,296381138987078.8
2022-05-12,17.965957267994817,2023-07-17,27.54098320007324,431,1.5329538409364754,296381138987078.8,454338605391369.8
2022-05-13,19.9654028408864,2023-12-15,30.0543212890625,581,1.5053200543249436,454338605391369.8,683925014149656.0
2022-05-13,19.9654028408864,2023-12-15,30.0543212890625,581,1.5053200543249436,683925014149656.0,1029526039453948.0
